property_id,property_type,property_age,crime_rate,construction_materials,weather_precipitation,weather_temperature,claim_type,claim_amount,property_damage_cost,insured_value,policyholder_age,property_size
8164,Commercial Building,23,2853.7,Wood,30.29,93.3,Water Damage,9747.94,6160.71,46750.7,76,23375
8322,Single-Family Home,26,1289.6,Wood,28.26,57.85,Fire,17092.44,15504.49,80732.47,39,16146
5477,Single-Family Home,5,1081.2,Wood,35.03,42.9,Water Damage,7080.85,5592.3,28553.38,66,5711
7544,Single-Family Home,34,307.6,Wood,28.45,62.3,Water Damage,10535.73,9309.38,44705.62,47,8941
3848,Commercial Building,6,5856.2,Concrete,15.53,92.1,Fire,9796.27,11543.08,59836.7,54,29918
5052,Single-Family Home,6,844.7,Wood,37.4,77.66,Fire,18927.37,12701.3,59148.34,68,11830
429,Apartment,19,101.5,Wood,22.1,56.66,Theft,2609.48,1190.2,6546.64,54,655
4902,Apartment,22,842.3,Steel,11.34,41.02,Water Damage,9730.54,15448.58,53251.36,58,5325
6867,Single-Family Home,10,406.9,Wood,37.78,88.31,Fire,15152.63,18657.25,84885.3,65,16977
7586,Single-Family Home,30,1031.2,Wood,13.53,59.62,Water Damage,7254.61,13406.36,61699.01,69,12340
944,Apartment,31,92.7,Concrete,36.3,62.9,Theft,3591.22,5448.19,17440.18,58,1744
9242,Single-Family Home,23,550.6,Wood,105.44,75.63,Water Damage,10179.32,5102.56,27960.63,37,5592
9094,Single-Family Home,44,2902.9,Wood,25.54,41.25,Fire,18012.49,12018.66,80109.09,60,16022
1804,Single-Family Home,16,875.0,Wood,15.75,48.58,Fire,8245.9,13099.62,48011.54,61,9602
9683,Single-Family Home,38,1850.9,Wood,30.24,68.94,Fire,17430.91,11212.63,49984.85,24,9997
989,Single-Family Home,38,137.6,Wood,96.33,20.52,Water Damage,9782.55,11622.33,38894.36,25,7779
5030,Single-Family Home,46,491.3,Wood,21.64,64.25,Fire,9485.24,10854.16,54579.54,58,10916
8759,Commercial Building,5,4418.3,Wood,92.18,50.12,Fire,14537.54,12764.16,77752.28,66,38876
5499,Commercial Building,48,4213.0,Wood,32.69,34.31,Fire,16235.27,36714.7,91848.28,69,45924
6722,Single-Family Home,23,754.7,Wood,27.61,80.19,Water Damage,7181.88,8714.17,40968.09,52,8194
4605,Apartment,-36,553.9,Concrete,40.9,66.29,Water Damage,8814.49,6313.28,29046.1,25,2905
5475,Commercial Building,25,2261.7,Wood,33.17,59.7,Water Damage,7724.09,8022.8,37084.63,62,18542
8752,Apartment,29,255.6,Wood,32.24,48.61,Water Damage,11979.38,14645.72,48193.17,61,4819
717,Commercial Building,26,471.2,Concrete,19.58,77.76,Fire,6204.38,6857.97,38597.42,43,19299
1994,Single-Family Home,2,1018.8,Wood,21.71,66.82,Fire,12914.89,11343.26,52459.02,47,10492
2050,Commercial Building,47,3380.8,Concrete,31.16,51.72,Fire,17224.08,26428.59,95615.17,32,47808
1532,-,45,249.9,Wood,15.08,73.2,,2905.99,2661.32,9458.34,36,1892
3512,Commercial Building,8,1598.2,Wood,31.38,58.82,Water Damage,8695.74,6068.41,26219.94,64,13110
2556,Single-Family Home,4,860.8,Wood,18.73,18.53,Water Damage,6401.18,4448.24,29148.75,38,5830
8372,Apartment,49,1108.5,Wood,34.9,40.66,Water Damage,8427.62,16356.49,72874.61,53,7287
4393,Single-Family Home,2,3376.0,Wood,20.07,2.21,Fire,18737.15,17644.71,94005.49,57,18801
6782,Apartment,27,502.7,Steel,24.39,85.02,Water Damage,9880.02,20981.62,56464.26,33,5646
9529,Single-Family Home,7,1437.6,Wood,16.36,30.11,Water Damage,8110.41,12184.73,41109.06,48,8222
1855,Single-Family Home,4,616.1,Wood,62.17,89.19,Fire,10868.11,15029.57,68809.9,32,13762
4156,Apartment,16,120.6,Steel,30.15,42.86,Theft,3086.59,2259.57,38740.175,63,1550
9957,Apartment,8,1231.0,Steel,17.53,67.28,Fire,12713.76,28790.47,100347.59,58,10035
3444,Commercial Building,5,1705.3,Wood,22.16,77.58,Water Damage,8987.31,13682.3,51245.44,67,25623
7350,Single-Family Home,41,1050.5,Wood,68.36,55.62,Fire,14401.99,9610.65,61313.4,58,12263
6321,Apartment,41,400.1,Concrete,91.54,6.37,Water Damage,6228.47,14532.11,46862.38,54,4686
14,Commercial Building,44,1000.6,Wood,39.97,50.17,Fire,19162.84,23524.67,68923.47,32,34462
2743,Single-Family Home,45,748.9,Wood,38.3,58.17,Water Damage,9009.24,14020.86,54369.96,67,10874
5650,Single-Family Home,28,757.1,Wood,15.8,61.02,Theft,4102.45,3971.27,19959.49,77,3992
941,Single-Family Home,27,309.6,Wood,17.8,26.16,Fire,11048.11,7050.54,35718.95,74,7144
2435,Single-Family Home,44,350.8,Wood,18.58,92.76,Water Damage,7046.33,11031.25,48207.42,21,9641
6560,-,21,269.6,Steel,19.8,87.03,,7484.5,6244.63,38783.09,64,3878
9141,Single-Family Home,35,414.3,Wood,30.97,56.42,Theft,3478.73,7565.44,25157.98,50,5032
9920,Single-Family Home,39,2891.3,Wood,16.39,70.51,Fire,15418.59,12627.93,75317.25,20,15063
5171,Single-Family Home,46,387.6,Wood,22.05,47.33,Fire,13303.0,14598.5,49388.69,74,9878
3343,Single-Family Home,38,285.1,Wood,11.42,72.03,Fire,12743.65,9199.62,52342.45,22,10468
641,Single-Family Home,45,52.8,Wood,25.85,75.07,Water Damage,6954.57,4707.53,18908.69,68,3782
1256,Commercial Building,4,4866.2,Concrete,18.63,41.71,Fire,15503.95,22449.57,101912.79,56,50956
7610,Commercial Building,18,1980.5,Wood,32.95,72.59,Water Damage,7919.31,11019.73,29673.9,19,14837
8986,Apartment,39,302.8,Wood,19.25,3.15,Water Damage,9256.71,15869.58,75361.8,61,7536
9076,Commercial Building,28,460.6,Wood,38.24,77.55,Water Damage,7129.92,5488.31,27217.15,79,13609
2385,Single-Family Home,24,801.1,Wood,24.16,83.11,Fire,11876.26,11602.81,68001.62,65,13600
2384,Single-Family Home,19,1855.7,Wood,36.38,13.77,Fire,14776.9,16048.08,50968.6,55,10194
1132,Single-Family Home,22,313.0,Wood,15.06,63.18,Theft,2964.16,2381.24,13954.28,41,2791
8701,Single-Family Home,22,131.4,Wood,10.57,84.67,Theft,2189.22,2965.96,9225.32,48,1845
8448,Commercial Building,27,2603.5,Concrete,16.67,44.59,Fire,10697.87,15108.03,65845.31,74,32923
2540,Apartment,41,263.1,Wood,13.01,46.6,Water Damage,6241.03,9303.67,29941.28,43,2994
2022,Single-Family Home,42,605.4,Wood,11.93,30.77,Water Damage,7568.04,10860.96,34120.71,37,6824
4494,Single-Family Home,1,245.9,Wood,25.14,71.19,Water Damage,8253.22,6780.67,24828.53,20,4966
4774,Single-Family Home,19,1355.2,Wood,23.05,47.22,Fire,11679.25,10608.45,34298.73,38,6860
3198,Apartment,20,477.9,Wood,25.16,49.6,Water Damage,7845.41,5430.8,33325.4,52,3333
5167,Apartment,1,1301.6,Wood,35.59,46.36,Fire,12012.66,21555.66,68150.4,64,6815
3928,Single-Family Home,20,1296.4,Wood,17.28,43.07,Fire,7649.65,3811.18,32852.24,49,6570
5559,-,4,150.4,Steel,37.32,69.74,,7020.74,12091.52,45858.37,74,4586
3177,Apartment,4,396.7,Concrete,20.36,79.32,Water Damage,6107.48,6151.91,28090.27,25,2809
7177,Commercial Building,24,5617.6,Wood,35.04,89.94,Water Damage,9185.46,12855.07,58104.94,54,29052
9673,Commercial Building,8,1807.0,Concrete,30.1,81.37,Water Damage,7180.96,6651.59,35803.61,32,17902
3312,Single-Family Home,2,902.1,Wood,24.36,42.77,Fire,13659.38,11112.0,38410.6,35,7682
3558,Single-Family Home,48,771.5,Wood,17.62,94.28,Fire,10469.51,25046.77,106544.77,78,21309
8308,Commercial Building,42,2558.2,Wood,36.3,75.5,Water Damage,8441.21,8807.63,31064.95,30,15532
8580,Commercial Building,27,2283.6,Steel,19.48,60.32,Water Damage,7335.76,5684.78,30221.54,34,15111
3482,Apartment,14,416.0,Wood,24.35,55.07,Water Damage,8945.17,10530.06,57391.06,53,5739
6625,Apartment,15,49.9,Wood,11.4,73.73,Water Damage,8343.1,4720.77,35375.23,36,3538
6294,Apartment,19,147.8,Wood,31.38,86.3,Water Damage,4450.27,6913.82,20674.95,45,2067
7442,Apartment,46,816.4,Steel,34.05,63.25,Fire,15660.67,27353.91,102939.44,36,10294
8172,-,5,6634.3,Steel,33.36,45.69,,17973.23,38183.01,151367.6,44,75684
922,Single-Family Home,46,3152.4,Wood,24.15,73.58,Fire,14102.42,22247.51,103928.66,43,20786
8132,Apartment,31,396.7,Wood,11.79,72.27,Water Damage,4864.53,7107.93,25949.26,72,2595
6439,Single-Family Home,22,149.5,Wood,18.32,54.33,Fire,11940.18,8873.78,34096.29,78,6819
9245,Apartment,13,214.2,Concrete,81.29,55.66,Water Damage,6979.28,12073.28,49839.44,79,4984
6842,Single-Family Home,8,928.5,Wood,34.59,51.39,Fire,17878.61,15884.62,79782.41,73,15956
848,Single-Family Home,44,1145.1,Wood,10.07,43.03,Fire,14601.11,9862.58,61693.12,19,12339
3634,Single-Family Home,1,1047.5,Wood,13.17,66.26,Water Damage,5088.42,4177.2,27043.5,79,5409
4750,Single-Family Home,3,783.9,Wood,33.61,46.06,Water Damage,7434.32,8747.85,27306.87,18,5461
9880,-,9,2413.4,Wood,14.21,86.06,,13450.15,9920.01,49558.06,66,24779
949,Single-Family Home,45,620.9,Wood,26.22,15.81,Fire,14645.75,26055.48,115184.78,75,23037
1204,Single-Family Home,48,2830.8,Wood,13.85,44.81,Fire,16965.47,15559.43,92192.21,41,18438
1279,Single-Family Home,3,1826.9,Wood,10.13,86.1,Fire,20012.13,16534.79,55275.29,29,11055
3087,Apartment,26,269.9,Steel,34.19,70.22,Fire,20206.62,45780.23,126339.06,58,12634
5380,Apartment,32,2183.5,Concrete,39.96,43.28,Fire,15622.73,33950.63,145574.88,53,14557
6040,Single-Family Home,33,4057.5,Wood,38.93,12.12,Fire,16276.69,32701.36,127667.36,56,25533
232,Single-Family Home,41,1108.1,Wood,30.78,78.97,Water Damage,6554.36,11186.42,30813.72,53,6163
9221,-,29,1050.3,Wood,23.46,77.79,,7483.22,6879.3,35936.18,22,7187
7217,Single-Family Home,41,886.6,Wood,35.08,83.97,Fire,12896.85,10294.1,36601.27,80,7320
7550,Apartment,36,112.7,Wood,20.85,63.56,Water Damage,8488.61,16741.93,48709.06,43,4871
5938,Commercial Building,18,890.6,Wood,12.14,91.99,Fire,11759.73,9133.78,33423.64,35,16712
9016,Apartment,29,234.6,Wood,25.05,75.73,Water Damage,6208.59,2797.3,14555.95,79,1456
9927,Apartment,45,525.2,Wood,107.32,88.26,Water Damage,6150.94,4265.14,27966.87,67,2797
2934,Single-Family Home,45,4385.9,Wood,22.35,27.41,Fire,17574.92,35524.82,130968.73,69,26194
2121,Commercial Building,36,15903.2,Concrete,23.47,50.98,Fire,17651.81,52023.36,182376.84,58,91188
1163,Apartment,27,354.5,Steel,33.35,69.49,Water Damage,6977.03,8856.91,32920.69,43,3292
685,Commercial Building,34,12485.6,Concrete,21.65,38.02,Fire,17885.3,48660.55,127925.45,68,63963
7301,Commercial Building,16,4057.8,Wood,25.87,33.66,Fire,10783.38,13565.36,167050.22499999998,27,33410
4270,Single-Family Home,12,651.9,Wood,12.93,90.46,Water Damage,11164.83,13533.82,62007.88,65,12402
289,Apartment,12,93.0,Wood,39.82,49.5,Water Damage,9395.65,7893.52,35631.09,38,3563
5659,-,27,848.0,Wood,29.52,34.97,,8878.66,3697.61,24721.77,42,4944
9333,Apartment,31,88.3,Concrete,19.93,61.2,Water Damage,9052.58,10390.24,53985.06,70,5399
4855,Commercial Building,25,1396.9,Steel,27.85,50.75,Fire,18294.22,23937.58,84489.19,53,42245
6009,Apartment,29,1173.7,Steel,30.12,61.58,Water Damage,9042.53,19408.46,59048.89,44,5905
3556,Commercial Building,26,2181.5,Wood,21.37,46.19,Water Damage,8610.86,13594.07,65896.37,47,32948
4047,Apartment,44,113.6,Concrete,23.79,48.66,Water Damage,7891.76,12089.15,105971.02500000001,76,4239
64,Apartment,43,296.7,Steel,72.93,60.43,Water Damage,7107.95,25279.16,49681.05,66,4968
9151,Commercial Building,32,4056.4,Concrete,10.61,86.72,Fire,10827.08,14789.51,71450.47,38,35725
7896,-,49,382.3,Wood,27.94,88.77,,16014.97,13659.64,51527.81,48,5153
4017,Single-Family Home,46,1599.5,Wood,47.17,0.98,Fire,21449.68,15470.08,82691.07,70,16538
2225,Single-Family Home,19,152.0,Wood,88.9,55.03,Water Damage,8600.89,11849.63,58156.18,43,11631
8337,Commercial Building,17,267.1,Wood,14.41,55.48,Water Damage,6562.96,5875.88,30496.02,60,15248
5681,Commercial Building,38,2179.0,Steel,36.67,51.2,Fire,11132.68,17329.16,48057.45,80,24029
253,-,9,2566.0,Wood,91.56,90.67,,8035.88,4653.35,28070.57,69,14035
6587,Single-Family Home,16,360.8,Wood,32.83,58.88,Fire,14169.69,14399.28,46925.57,80,9385
4771,Apartment,39,1190.3,Wood,25.49,77.44,Water Damage,8015.74,19004.72,66587.73,62,6659
5691,Commercial Building,43,565.7,Wood,30.22,93.15,Fire,15746.81,28352.65,95512.02,55,47756
8160,Single-Family Home,21,513.2,Wood,10.62,7.41,Theft,3369.35,4362.0,18354.32,70,3671
4202,Apartment,29,1199.2,Concrete,33.83,69.13,Fire,11836.16,12629.51,72712.82,18,7271
6589,Single-Family Home,44,4105.6,Wood,19.75,54.35,Fire,20263.08,39746.66,153093.1,51,30619
1125,Apartment,5,1021.3,Steel,75.42,13.79,Fire,17175.67,14684.66,68816.55,30,6882
7714,Single-Family Home,9,1459.3,Wood,19.24,66.73,Water Damage,7185.98,10535.45,49907.14,75,9981
5904,Commercial Building,35,1439.1,Concrete,28.13,49.93,Water Damage,7139.1,13335.07,31839.01,19,15920
3429,Apartment,38,93.7,Concrete,13.4,79.11,Water Damage,9726.16,19900.93,73380.35,53,7338
5588,Commercial Building,4,555.4,Steel,36.32,60.68,Theft,3934.93,8148.73,19635.05,73,9818
7502,Single-Family Home,40,1253.9,Wood,34.25,30.6,Fire,12252.19,10496.11,63435.33,56,12687
4399,Apartment,2,1753.1,Concrete,22.7,61.02,Fire,18358.97,27291.07,123883.37,71,12388
2223,Apartment,10,588.7,Concrete,31.49,20.76,Fire,14978.3,10099.81,59882.82,19,5988
7665,Apartment,44,194.8,Steel,15.19,25.41,Theft,3022.75,6740.55,17938.04,49,1794
7056,Apartment,32,1479.9,Wood,15.51,10.41,Fire,19829.67,23641.38,233482.025,23,9339
401,Apartment,50,1006.0,Concrete,27.41,42.12,Fire,15622.42,12949.51,70789.44,33,7079
487,Apartment,-42,537.1,Steel,26.32,61.54,Water Damage,9365.73,19861.84,83970.27,24,8397
4227,Commercial Building,11,606.6,Wood,34.18,89.36,Theft,3301.58,1674.65,7616.24,79,3808
5078,Commercial Building,48,5205.7,Concrete,63.09,43.58,Water Damage,9088.76,18746.75,77958.1,64,38979
3503,Commercial Building,11,2773.6,Steel,38.75,55.16,Fire,14587.47,26627.13,76503.05,44,38252
37,Single-Family Home,46,238.3,Wood,24.91,44.82,Fire,21756.79,20226.23,84982.3,57,16996
8828,Apartment,28,400.9,Wood,20.09,9.61,Water Damage,9031.63,6777.11,25632.24,56,2563
3209,Commercial Building,1,2183.5,Steel,27.86,71.54,Water Damage,5516.77,4762.1,28300.99,70,14150
2553,-,40,2089.9,Wood,27.4,52.72,,11835.93,17089.78,74466.78,50,14893
1617,Single-Family Home,47,1483.7,Wood,19.09,67.81,Water Damage,12343.28,15424.5,56734.78,28,11347
7284,Single-Family Home,4,3684.4,Wood,30.37,59.44,Fire,16431.77,25836.2,95271.87,71,19054
5039,Single-Family Home,-41,372.6,Wood,14.23,79.99,Fire,13323.85,10160.84,37253.5,41,7451
9946,Commercial Building,22,1011.6,Wood,74.52,80.79,Water Damage,3160.56,3918.04,14464.01,47,7232
4355,Single-Family Home,41,191.2,Wood,29.94,60.83,Water Damage,8284.28,7122.78,24249.61,62,4850
2146,Single-Family Home,41,852.8,Wood,11.96,85.8,Water Damage,6835.88,4565.56,25064.65,28,5013
6635,Single-Family Home,35,228.1,Wood,25.44,83.36,Theft,1399.34,3143.13,9812.45,45,1962
5179,Commercial Building,37,1712.3,Concrete,32.26,16.17,Water Damage,7799.25,11428.36,44095.34,80,22048
4430,Single-Family Home,40,2576.5,Wood,20.88,21.22,Fire,13757.1,22873.92,241420.975,29,19314
8838,Commercial Building,48,1928.4,Steel,27.49,79.35,Water Damage,6333.98,14062.82,57881.93,38,28941
5698,Apartment,3,631.1,Concrete,12.2,67.94,Fire,20705.63,16780.94,66193.04,73,6619
3661,Single-Family Home,44,162.6,Wood,12.94,76.02,Theft,2856.5,4471.63,20428.91,52,4086
6420,Commercial Building,22,3350.6,Concrete,20.41,40.95,Water Damage,11054.23,20555.6,73437.55,25,36719
6444,Apartment,8,151.2,Wood,33.43,62.5,Water Damage,8179.54,8828.92,29639.98,60,2964
776,Commercial Building,31,3431.7,Steel,20.54,63.25,Water Damage,8976.62,17305.48,58365.01,20,29183
4845,Single-Family Home,37,990.8,Wood,30.05,78.67,Water Damage,5703.35,6933.09,37480.4,75,7496
6797,Apartment,39,257.7,Wood,87.1,41.87,Theft,3472.81,7113.57,27868.98,61,2787
4708,Single-Family Home,50,1443.5,Wood,23.79,72.36,Fire,11669.34,17307.52,82873.53,73,16575
